Name,Hash,Id,Tag,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Outlawed Reaper Mask,3639906117,"""6917529091207697065""",,Legendary,Helmet,Hunter,696,Solar Damage Resistance,1,2,0,1,,Reaper +2,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Hands-On,Remote Connection,Fusion Rifle Reserves,Shotgun Reserves,,
Red Moon Phantom Mask,3994031968,"""6917529090150262951""",,Legendary,Helmet,Hunter,695,Void Damage Resistance,2,2,0,1,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Fallen Armaments,Tier 2 Armor,Hand Cannon Targeting,Scatter Projectile Targeting,Fusion Rifle Reserves,Shotgun Reserves,,
Notorious Reaper Mask,3639906118,"""6917529091309925715""",favorite,Legendary,Helmet,Hunter,700,Arc Damage Resistance,1,1,0,2,,Reaper +3,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Hand Cannon Targeting,Remote Connection,Power Weapon Targeting,Sniper Rifle Reserves,Heavy Ammo Finder,
Nea-Thonis Breather,2932919026,"""6917529070214230630""",,Legendary,Helmet,Hunter,699,Void Damage Resistance,2,2,1,0,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Super Mod,Tier 2 Armor,Precision Weapon Targeting,Special Ammo Finder,,,,
Red Moon Phantom Mask,3994031968,"""6917529091309923208""",,Legendary,Helmet,Hunter,700,Arc Damage Resistance,1,1,1,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Heavy Lifting,Pump Action,Sword Reserves,Machine Gun Reserves,,,
Wing Contender,1127237110,"""6917529091248562460""",,Legendary,Helmet,Hunter,700,Void Damage Resistance,1,1,1,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Legacy,Pulse Rifle Targeting,Machine Gun Targeting,Fusion Rifle Reserves,Special Ammo Finder,,
Inaugural Revelry Mask,1232802389,"""6917529092382764567""",,Legendary,Helmet,Hunter,700,Solar Damage Resistance,2,1,1,1,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 2 Armor,Scatter Projectile Targeting,Machine Gun Targeting,Fusion Rifle Reserves,Special Ammo Finder,,,
Reverie Dawn Casque,2824453288,"""6917529093435310920""",,Legendary,Helmet,Hunter,700,Void Damage Resistance,3,1,0,2,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Riven's Curse,Tier 3 Armor,Burnished Dreams,Heavy Lifting,Hands-On,Kinetic Weapon Targeting,Fusion Rifle Reserves,Sniper Rifle Reserves
Wing Contender,2331227463,"""6917529091236121814""",,Legendary,Gauntlets,Hunter,700,Arc Damage Resistance,1,2,0,1,,Mobile Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Crucible Metallic,Submachine Gun Loader,Machine Gun Loader,Sniper Rifle Scavenger,Heavy Ammo Finder,,
Wing Contender,2331227463,"""6917529091656468851""",,Legendary,Gauntlets,Hunter,700,Arc Damage Resistance,2,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Crucible Legacy,Hand Cannon Loader,Sniper Rifle Loader,Linear Fusion Rifle Scavenger,Special Ammo Finder,,
Vernal Growth Grips,3503026437,"""6917529092188907163""",,Legendary,Gauntlets,Hunter,696,Arc Damage Resistance,2,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Impact Induction,Sniper Rifle Scavenger,,,,,
Tangled Web Grips,3609169817,"""6917529093518876715""",,Legendary,Gauntlets,Hunter,700,Solar Damage Resistance,1,2,1,0,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Fastball,Impact Induction,Fusion Rifle Scavenger,Heavy Ammo Finder,,,
Tangled Web Grips,3609169817,"""6917529090873590491""",,Legendary,Gauntlets,Hunter,682,Arc Damage Resistance,1,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 1 Armor,Impact Induction,Momentum Transfer,Grenade Launcher Scavenger,Sword Scavenger,,,
Ancient Apocalypse Grips,2130645994,"""6917529091239374169""",,Legendary,Gauntlets,Hunter,700,Solar Damage Resistance,2,2,1,0,,Survivalist Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Gambit Leather,Momentum Transfer,Power Weapon Loader,Fusion Rifle Scavenger,Shotgun Scavenger,,
Wing Contender,3211001969,"""6917529091659441400""",favorite,Legendary,Chest Armor,Hunter,700,Void Damage Resistance,1,2,0,2,,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Crucible Legacy,Unflinching Large Arms,Unflinching Machine Gun,Sidearm Reserves,Special Ammo Finder,,
Ancient Apocalypse Vest,3855285278,"""6917529091239375967""",,Legendary,Chest Armor,Hunter,700,Void Damage Resistance,1,1,1,2,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Gambit Leather,Unflinching Shotgun Aim,Unflinching Power Aim,Scout Rifle Reserves,Primary Ammo Finder,,
Reverie Dawn Hauberk,1593474975,"""6917529093438117200""",,Legendary,Chest Armor,Hunter,700,Void Damage Resistance,3,1,1,2,,Survivalist Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Riven's Curse,Tier 3 Armor,Burnished Dreams,Unflinching Bow Aim,Unflinching Fusion Rifle Aim,Unflinching Energy Aim,Auto Rifle Reserves,Bow Reserves
Notorious Reaper Vest,2635164577,"""6917529091309923842""",keep,Legendary,Chest Armor,Hunter,682,Void Damage Resistance,1,2,0,2,,Reaper +3,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Unflinching Shotgun Aim,Unflinching Submachine Gun Aim,Unflinching Power Aim,Sidearm Reserves,Submachine Gun Reserves,
Bladesmith's Memory Vest,1917693279,"""6917529091263709302""",favorite,Legendary,Chest Armor,Hunter,700,Arc Damage Resistance,1,1,0,3,,Heavy Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 1 Armor,Midnight Smith,Unflinching Scout Rifle Aim,Unflinching Large Arms,Unflinching Machine Gun,Scout Rifle Reserves,Special Ammo Finder,
Illicit Sentry Vest,3998122207,"""6917529091304071726""",keep,Legendary,Chest Armor,Hunter,700,Void Damage Resistance,3,2,0,2,,Sentry +1,Mobile Hunter Armor,Plasteel Reinforcement Mod,Restorative Mod,Tier 3 Armor,Unflinching Fusion Rifle Aim,Unflinching Rifle Aim,Pulse Rifle Reserves,Scout Rifle Reserves,,
Bladesmith's Memory Strides,2589473259,"""6917529085121697168""",keep,Legendary,Leg Armor,Hunter,700,Arc Damage Resistance,4,1,0,2,,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Super Mod,Tier 4 Armor,Midnight Smith,Grenade Launcher Dexterity,Dynamo,Enhanced Rocket Launcher Dexterity,Hand Cannon Scavenger,Sidearm Scavenger
Inaugural Revelry Strides,1839291598,"""6917529092382771916""",keep,Legendary,Leg Armor,Hunter,700,Arc Damage Resistance,4,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 4 Armor,Perpetuation,Traction,Auto Rifle Scavenger,Special Ammo Finder,,,
Prodigal Strides,3397835010,"""6917529091236116048""",keep,Legendary,Leg Armor,Hunter,700,Arc Damage Resistance,1,1,1,1,,Survivalist Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Tier 1 Armor,Dynamo,Oversize Weapon Dexterity,Arrow Scavenger,Sidearm Scavenger,,,
Bladesmith's Memory Strides,2589473259,"""6917529092534712130""",,Legendary,Leg Armor,Hunter,700,Void Damage Resistance,2,3,0,0,,Mobile Hunter Armor,Mobility Enhancement Mod,Plasteel Reinforcement Mod,Tier 2 Armor,Midnight Smith,Auto Rifle Dexterity,Bow Dexterity,Perpetuation,Scout Rifle Scavenger,Sidearm Scavenger,
Tangled Web Strides,2206284939,"""6917529093521810509""",favorite,Legendary,Leg Armor,Hunter,700,Solar Damage Resistance,2,2,0,1,,Heavy Hunter Armor,Mobility Enhancement Mod,Restorative Mod,Tier 2 Armor,Energy Dexterity,Rifle Dexterity,Pulse Rifle Scavenger,Scout Rifle Scavenger,,,
